 Kello      Hinta   M‰‰r‰  Ostaja   Myyj‰
 18:23:29    8.90   47057     JPM     JPM
 18:23:29    8.90    5804     CDV     JPM
 18:23:29    8.90     461     BPP     JPM
 18:23:29    8.90    1871     BPP     JPM
 18:23:29    8.90    7368     SAB     JPM
 18:23:29    8.90   28728     SAB     JPM
 18:23:29    8.90   30722     SAB     NRD
 18:23:29    8.90    1242     SAB     NRD
 18:23:29    8.90    1263     SAB     NRD
 18:23:29    8.90   48386     GSI     NRD
 18:23:29    8.90   31987     GSI     NRD
 18:23:29    8.90   26438     GSI     NRD
 18:23:29    8.90   19578     GSI     NRD
 18:23:29    8.90    8315     SAB     NRD
 18:23:29    8.90   15000     NRD     NRD
 18:23:29    8.90  117069     JPM     NRD
 18:23:29    8.90    9219     JPM     CSB
 18:23:29    8.90   30469     GSI     CSB
 18:23:29    8.90   10017     JPM     CSB
 18:23:29    8.90    3834     JPM     CSB
 18:23:29    8.90    3626     JPM     MSI
 18:23:29    8.90    2031     JPM     MSI
 18:23:29    8.90    2918     JPM     MSI
 18:23:29    8.90    2908     MSI     MSI
 18:23:29    8.90     310     MSI     MSI
 18:23:29    8.90   30123     MSI     MSI
 18:23:29    8.90   43256     MSI     MSI
 18:23:29    8.90    8850     MSI     MSI
 18:23:29    8.90    4035     MSI     MSI
 18:23:29    8.90    5413     MSI     MSI
 18:23:29    8.90       6     MSI     MSI
 18:23:29    8.90       1     MSI     MSI
 18:23:29    8.90     162     MSI     MSI
 18:23:29    8.90     477     MSI     MSI
 18:23:29    8.90     704     MSI     MSI
 18:23:29    8.90    1802     MSI     MSI
 18:23:29    8.90    1779     UBS     MSI
 18:23:29    8.90   22692     UBS     MSI
 18:23:29    8.90    2908     INT     MSI
 18:23:29    8.90    9472     CDV     MSI
 18:23:29    8.90      73     DRS     MSI
 18:23:29    8.90    4784     DBL     MSI
 18:23:29    8.90    2000     DBL     MSI
 18:23:29    8.90   18360     DBL     MSI
 18:23:29    8.90    2435     DBL     MSI
 18:23:29    8.90    1702     DBL     MSI
 18:23:29    8.90    1145     DBL     MSI
 18:23:29    8.90    1210     DBL     MSI
 18:23:29    8.90    1908     DBL     CSB
 18:23:29    8.90    4430     DBL     DBL
 18:23:29    8.90    8575     DBL     DBL
 18:23:29    8.90    2000     DBL     DBL
 18:23:29    8.90    9802     DBL     DBL
 18:23:29    8.90    3525     DBL     DBL
 18:23:29    8.90    3947     DBL     DBL
 18:23:29    8.90     950     DBL     DBL
 18:23:29    8.90    8605     DBL     DBL
 18:23:29    8.90    4345     DBL     DBL
 18:23:29    8.90   30655     DBL     CSB
 18:23:29    8.90   16300     DBL     CSB
 18:23:29    8.90    4061     CSB     CSB
 18:23:29    8.90    4052     CSB     CSB
 18:23:29    8.90    2204     CSB     CSB
 18:23:29    8.90     114     CSB     CSB
 18:19:58    8.92     100     MLI     EQB
 18:19:58    8.92     975     MLI     DBL
 18:19:57    8.92    2027     MLI     MLI
 18:19:56    8.92    2000     MLI     OPV
 18:19:56    8.92    2000     MLI     OPV
 18:19:56    8.92    1100     MLI     DBL
 18:19:56    8.92    1260     MLI     DBL
 18:19:56    8.92    6750     MLI     EPB
 18:19:56    8.91    3059     EVL     MLI
 18:19:55    8.91    1500     EVL     ENS
 18:19:54    8.91     441     EVL     EQB
